image_id,filepath,lat,lon,country,region,city,source,capture_date,quality_score
sample_0000,images/UA/Kyiv/0000.jpg,50.442895,30.514755,UA,Kyiv Oblast,Kyiv,osv5m,2023-04-08,0.484
sample_0001,images/UA/Kyiv/0001.jpg,50.515794,30.572721,UA,Kyiv Oblast,Kyiv,mapillary,2023-10-14,0.419
sample_0002,images/UA/Kyiv/0002.jpg,50.480363,30.543606,UA,Kyiv Oblast,Kyiv,mapillary,2023-09-07,0.83
sample_0003,images/UA/Kyiv/0003.jpg,50.434399,30.473671,UA,Kyiv Oblast,Kyiv,osv5m,2023-10-09,0.886
sample_0004,images/UA/Kyiv/0004.jpg,50.54055,30.527095,UA,Kyiv Oblast,Kyiv,osv5m,2023-06-09,0.493
sample_0005,images/UA/Kyiv/0005.jpg,50.49377,30.511369,UA,Kyiv Oblast,Kyiv,mapillary,2023-07-04,0.615
sample_0006,images/UA/Kyiv/0006.jpg,50.428283,30.55596,UA,Kyiv Oblast,Kyiv,mapillary,2023-12-15,0.722
sample_0007,images/UA/Kyiv/0007.jpg,50.498174,30.515201,UA,Kyiv Oblast,Kyiv,osv5m,2023-11-20,0.931
sample_0008,images/UA/Kyiv/0008.jpg,50.429014,30.548362,UA,Kyiv Oblast,Kyiv,mapillary,2023-01-22,0.537
sample_0009,images/UA/Kyiv/0009.jpg,50.445105,30.543169,UA,Kyiv Oblast,Kyiv,mapillary,2023-02-13,0.567
sample_0010,images/UA/Kyiv/0010.jpg,50.418751,30.487531,UA,Kyiv Oblast,Kyiv,osv5m,2023-06-07,0.802
sample_0011,images/UA/Kyiv/0011.jpg,50.427488,30.451001,UA,Kyiv Oblast,Kyiv,mapillary,2023-10-21,0.503
sample_0012,images/UA/Lviv/0012.jpg,49.835794,24.000089,UA,Lviv Oblast,Lviv,osv5m,2023-05-21,0.813
sample_0013,images/UA/Lviv/0013.jpg,49.848101,24.073166,UA,Lviv Oblast,Lviv,mapillary,2023-04-27,0.419
sample_0014,images/UA/Lviv/0014.jpg,49.82392,24.065882,UA,Lviv Oblast,Lviv,mapillary,2023-10-23,0.589
sample_0015,images/UA/Lviv/0015.jpg,49.81161,23.988121,UA,Lviv Oblast,Lviv,osv5m,2023-03-09,0.484
sample_0016,images/UA/Lviv/0016.jpg,49.837741,23.967509,UA,Lviv Oblast,Lviv,osv5m,2023-10-13,0.617
sample_0017,images/UA/Lviv/0017.jpg,49.86698,24.029242,UA,Lviv Oblast,Lviv,osv5m,2023-02-25,0.428
sample_0018,images/UA/Lviv/0018.jpg,49.893937,24.074368,UA,Lviv Oblast,Lviv,osv5m,2023-10-03,0.631
sample_0019,images/UA/Lviv/0019.jpg,49.793413,23.997864,UA,Lviv Oblast,Lviv,osv5m,2023-09-28,0.965
sample_0020,images/UA/Lviv/0020.jpg,49.829238,24.007365,UA,Lviv Oblast,Lviv,osv5m,2023-11-11,0.467
sample_0021,images/UA/Lviv/0021.jpg,49.789271,24.051611,UA,Lviv Oblast,Lviv,osv5m,2023-09-25,0.507
sample_0022,images/UA/Lviv/0022.jpg,49.925944,23.976945,UA,Lviv Oblast,Lviv,osv5m,2023-11-17,0.765
sample_0023,images/UA/Lviv/0023.jpg,49.888303,24.099169,UA,Lviv Oblast,Lviv,mapillary,2023-10-11,0.693
sample_0024,images/UA/Odesa/0024.jpg,46.51873,30.753995,UA,Odesa Oblast,Odesa,osv5m,2023-04-02,0.545
sample_0025,images/UA/Odesa/0025.jpg,46.464034,30.714982,UA,Odesa Oblast,Odesa,osv5m,2023-02-25,0.72
sample_0026,images/UA/Odesa/0026.jpg,46.534167,30.775463,UA,Odesa Oblast,Odesa,mapillary,2023-05-17,0.923
sample_0027,images/UA/Odesa/0027.jpg,46.451949,30.73932,UA,Odesa Oblast,Odesa,mapillary,2023-12-10,0.639
sample_0028,images/UA/Odesa/0028.jpg,46.459659,30.680689,UA,Odesa Oblast,Odesa,osv5m,2023-02-08,0.535
sample_0029,images/UA/Odesa/0029.jpg,46.447486,30.779969,UA,Odesa Oblast,Odesa,mapillary,2023-10-08,0.404
sample_0030,images/UA/Odesa/0030.jpg,46.47794,30.706489,UA,Odesa Oblast,Odesa,mapillary,2023-01-28,0.598
sample_0031,images/UA/Odesa/0031.jpg,46.442262,30.719712,UA,Odesa Oblast,Odesa,osv5m,2023-04-18,0.479
sample_0032,images/UA/Odesa/0032.jpg,46.542287,30.697657,UA,Odesa Oblast,Odesa,osv5m,2023-04-26,0.684
sample_0033,images/UA/Odesa/0033.jpg,46.463931,30.735571,UA,Odesa Oblast,Odesa,osv5m,2023-06-14,0.647
sample_0034,images/UA/Odesa/0034.jpg,46.493444,30.710702,UA,Odesa Oblast,Odesa,mapillary,2023-01-13,0.837
sample_0035,images/UA/Odesa/0035.jpg,46.490018,30.700452,UA,Odesa Oblast,Odesa,mapillary,2023-04-18,0.669
sample_0036,images/UA/Kharkiv/0036.jpg,49.957867,36.249445,UA,Kharkiv Oblast,Kharkiv,mapillary,2023-02-15,0.885
sample_0037,images/UA/Kharkiv/0037.jpg,50.00752,36.21255,UA,Kharkiv Oblast,Kharkiv,mapillary,2023-02-25,0.909
sample_0038,images/UA/Kharkiv/0038.jpg,50.022439,36.280267,UA,Kharkiv Oblast,Kharkiv,mapillary,2023-07-02,0.499
sample_0039,images/UA/Kharkiv/0039.jpg,50.043244,36.231074,UA,Kharkiv Oblast,Kharkiv,osv5m,2023-05-14,0.818
sample_0040,images/UA/Kharkiv/0040.jpg,49.982815,36.143605,UA,Kharkiv Oblast,Kharkiv,osv5m,2023-03-07,0.578
sample_0041,images/UA/Kharkiv/0041.jpg,50.058018,36.217549,UA,Kharkiv Oblast,Kharkiv,mapillary,2023-12-11,0.434
sample_0042,images/UA/Kharkiv/0042.jpg,49.942464,36.200572,UA,Kharkiv Oblast,Kharkiv,mapillary,2023-01-17,0.448
sample_0043,images/UA/Kharkiv/0043.jpg,50.01988,36.292238,UA,Kharkiv Oblast,Kharkiv,mapillary,2023-07-04,0.965
sample_0044,images/UA/Kharkiv/0044.jpg,49.93394,36.202521,UA,Kharkiv Oblast,Kharkiv,mapillary,2023-10-03,0.652
sample_0045,images/UA/Kharkiv/0045.jpg,49.940894,36.199879,UA,Kharkiv Oblast,Kharkiv,osv5m,2023-04-22,0.83
sample_0046,images/UA/Kharkiv/0046.jpg,49.997065,36.280464,UA,Kharkiv Oblast,Kharkiv,osv5m,2023-08-11,0.957
sample_0047,images/UA/Kharkiv/0047.jpg,49.999791,36.227712,UA,Kharkiv Oblast,Kharkiv,mapillary,2023-02-18,0.528
sample_0048,images/UA/Dnipro/0048.jpg,48.453606,35.162009,UA,Dnipro Oblast,Dnipro,mapillary,2023-04-12,0.571
sample_0049,images/UA/Dnipro/0049.jpg,48.40677,35.069904,UA,Dnipro Oblast,Dnipro,osv5m,2023-10-26,0.792
sample_0050,images/UA/Dnipro/0050.jpg,48.556753,35.050728,UA,Dnipro Oblast,Dnipro,osv5m,2023-11-04,0.963
sample_0051,images/UA/Dnipro/0051.jpg,48.481159,35.064703,UA,Dnipro Oblast,Dnipro,mapillary,2023-12-18,0.493
sample_0052,images/UA/Dnipro/0052.jpg,48.457884,35.079907,UA,Dnipro Oblast,Dnipro,osv5m,2023-04-22,0.781
sample_0053,images/UA/Dnipro/0053.jpg,48.459619,35.103876,UA,Dnipro Oblast,Dnipro,mapillary,2023-02-21,0.654
sample_0054,images/UA/Dnipro/0054.jpg,48.463997,35.050355,UA,Dnipro Oblast,Dnipro,mapillary,2023-11-09,0.497
sample_0055,images/UA/Dnipro/0055.jpg,48.391664,35.074147,UA,Dnipro Oblast,Dnipro,mapillary,2023-02-03,0.967
sample_0056,images/UA/Dnipro/0056.jpg,48.454412,35.01972,UA,Dnipro Oblast,Dnipro,mapillary,2023-06-19,0.732
sample_0057,images/UA/Dnipro/0057.jpg,48.451483,35.052441,UA,Dnipro Oblast,Dnipro,osv5m,2023-01-12,0.526
sample_0058,images/UA/Dnipro/0058.jpg,48.464769,35.069488,UA,Dnipro Oblast,Dnipro,osv5m,2023-10-24,0.493
sample_0059,images/UA/Dnipro/0059.jpg,48.555141,35.003559,UA,Dnipro Oblast,Dnipro,mapillary,2023-07-01,0.508
