image_id,filepath,lat,lon,country,region,city,source,capture_date,quality_score
kyiv_50.429673_30.32361_h0,data/images/kyiv/50.429673_30.32361_h0.jpg,50.429673,30.32361,UA,,kyiv,streetview,,1.0
kyiv_50.511599_30.623796_h180,data/images/kyiv/50.511599_30.623796_h180.jpg,50.511599,30.623796,UA,,kyiv,streetview,,1.0
prague_50.066949_14.38687_h0,data/images/prague/50.066949_14.38687_h0.jpg,50.066949,14.38687,CZ,,prague,streetview,,1.0
warsaw_52.215092_21.025654_h0,data/images/warsaw/52.215092_21.025654_h0.jpg,52.215092,21.025654,PL,,warsaw,streetview,,1.0
kyiv_50.248573_30.377232_h90,data/images/kyiv/50.248573_30.377232_h90.jpg,50.248573,30.377232,UA,,kyiv,streetview,,1.0
kyiv_50.339123_30.352161_h180,data/images/kyiv/50.339123_30.352161_h180.jpg,50.339123,30.352161,UA,,kyiv,streetview,,1.0
kyiv_50.445842_30.460754_h0,data/images/kyiv/50.445842_30.460754_h0.jpg,50.445842,30.460754,UA,,kyiv,streetview,,1.0
kyiv_50.515911_30.240695_h0,data/images/kyiv/50.515911_30.240695_h0.jpg,50.515911,30.240695,UA,,kyiv,streetview,,1.0
kyiv_50.243183_30.810408_h180,data/images/kyiv/50.243183_30.810408_h180.jpg,50.243183,30.810408,UA,,kyiv,streetview,,1.0
prague_50.062637_14.380151_h270,data/images/prague/50.062637_14.380151_h270.jpg,50.062637,14.380151,CZ,,prague,streetview,,1.0
warsaw_52.238807_21.015132_h0,data/images/warsaw/52.238807_21.015132_h0.jpg,52.238807,21.015132,PL,,warsaw,streetview,,1.0
kyiv_50.443686_30.504754_h270,data/images/kyiv/50.443686_30.504754_h270.jpg,50.443686,30.504754,UA,,kyiv,streetview,,1.0
kyiv_50.578433_30.486841_h180,data/images/kyiv/50.578433_30.486841_h180.jpg,50.578433,30.486841,UA,,kyiv,streetview,,1.0
kyiv_50.564419_30.568225_h270,data/images/kyiv/50.564419_30.568225_h270.jpg,50.564419,30.568225,UA,,kyiv,streetview,,1.0
kyiv_50.465246_30.460845_h90,data/images/kyiv/50.465246_30.460845_h90.jpg,50.465246,30.460845,UA,,kyiv,streetview,,1.0
warsaw_52.278692_20.962333_h180,data/images/warsaw/52.278692_20.962333_h180.jpg,52.278692,20.962333,PL,,warsaw,streetview,,1.0
kyiv_50.22917_30.747893_h90,data/images/kyiv/50.22917_30.747893_h90.jpg,50.22917,30.747893,UA,,kyiv,streetview,,1.0
kyiv_50.431829_30.533456_h90,data/images/kyiv/50.431829_30.533456_h90.jpg,50.431829,30.533456,UA,,kyiv,streetview,,1.0
budapest_47.533302_19.089831_h180,data/images/budapest/47.533302_19.089831_h180.jpg,47.533302,19.089831,HU,,budapest,streetview,,1.0
budapest_47.536536_19.078659_h0,data/images/budapest/47.536536_19.078659_h0.jpg,47.536536,19.078659,HU,,budapest,streetview,,1.0
budapest_47.5236_19.053101_h180,data/images/budapest/47.5236_19.053101_h180.jpg,47.5236,19.053101,HU,,budapest,streetview,,1.0
warsaw_52.208624_20.978146_h180,data/images/warsaw/52.208624_20.978146_h180.jpg,52.208624,20.978146,PL,,warsaw,streetview,,1.0
prague_50.090665_14.412086_h270,data/images/prague/50.090665_14.412086_h270.jpg,50.090665,14.412086,CZ,,prague,streetview,,1.0
kyiv_50.43614_30.36424_h180,data/images/kyiv/50.43614_30.36424_h180.jpg,50.43614,30.36424,UA,,kyiv,streetview,,1.0
prague_50.089587_14.46417_h0,data/images/prague/50.089587_14.46417_h0.jpg,50.089587,14.46417,CZ,,prague,streetview,,1.0
budapest_47.486949_19.073808_h0,data/images/budapest/47.486949_19.073808_h0.jpg,47.486949,19.073808,HU,,budapest,streetview,,1.0
kyiv_50.4577_30.506526_h270,data/images/kyiv/50.4577_30.506526_h270.jpg,50.4577,30.506526,UA,,kyiv,streetview,,1.0
kyiv_50.408113_30.633103_h270,data/images/kyiv/50.408113_30.633103_h270.jpg,50.408113,30.633103,UA,,kyiv,streetview,,1.0
prague_50.084197_14.403679_h90,data/images/prague/50.084197_14.403679_h90.jpg,50.084197,14.403679,CZ,,prague,streetview,,1.0
prague_50.068027_14.449009_h270,data/images/prague/50.068027_14.449009_h270.jpg,50.068027,14.449009,CZ,,prague,streetview,,1.0
warsaw_52.243119_21.036264_h180,data/images/warsaw/52.243119_21.036264_h180.jpg,52.243119,21.036264,PL,,warsaw,streetview,,1.0
kyiv_50.21839_30.756201_h180,data/images/kyiv/50.21839_30.756201_h180.jpg,50.21839,30.756201,UA,,kyiv,streetview,,1.0
warsaw_52.224793_20.997514_h180,data/images/warsaw/52.224793_20.997514_h180.jpg,52.224793,20.997514,PL,,warsaw,streetview,,1.0
